,name,youtube,avg_hashtag,avg_comment,avg_self_comment,post_interval,ppl_img_ratio,comment_user_num,lang_ratio
48,jk_tv,UCIB_oNqi62rKnPFb3Toaozw,3,12.6,0,0.147058824,0.94,"{'comment1': 46, 'comment2': 7, 'comment3': 3, 'comment4': 2, 'comment5': 0, 'comment6': 1, 'comment7': 1, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '76.19', 'emoji': '23.81'}"
49,classsytv,UCJCNS4-1Bff7H2fzuUCZzig,8.7,3.9,0,0.769230769,0.81,"{'comment1': 48, 'comment2': 5, 'comment3': 2, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 1, 'over_10': 0}","{'ko': '85.14', 'emoji': '14.86'}"
50,jwvid,UCJCqV1PsakBbjD0DI6KJIgQ,0.2,14.5,0,0.172413793,0.53,"{'comment1': 76, 'comment2': 13, 'comment3': 3, 'comment4': 2, 'comment5': 2, 'comment6': 2, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '74.36', 'emoji': '25.64'}"
51,the_edit.co.kr,UCJKZoVf3RIMfFffjdseqdEg,0,11.9,0,1.666666667,0.21,"{'comment1': 94, 'comment2': 3, 'comment3': 4, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '91.60', 'emoji': '8.40'}"
52,dctube601,UCJQDi71H00IXCQbxAtFem3Q,1.8,1.7,0,0.10989011,0,"{'comment1': 5, 'comment2': 2, 'comment3': 0, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '52.94', 'emoji': '47.06'}"
53,dongmin9249,UCLlfMCCErVE5VaEyHxB5AgA,16.5,14.4,16.5,0.526315789,1,"{'comment1': 91, 'comment2': 26, 'comment3': 8, 'comment4': 3, 'comment5': 2, 'comment6': 1, 'comment7': 4, 'comment8': 1, 'comment9': 1, 'comment10': 0, 'over_10': 0}","{'ko': '79.17', 'emoji': '20.83'}"
54,redhatsg,UCLvaHVogti2o0AkXoNZzeKA,1.6,15.6,5.7,0.0267379679,0.46,"{'comment1': 107, 'comment2': 18, 'comment3': 3, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '98.72', 'emoji': '1.28'}"
55,xxdmsdudxx,UCMA_DTVCzlALpD8hfGmYAlg,15.2,11.1,134.1,0.416666667,0.64,"{'comment1': 30, 'comment2': 3, 'comment3': 7, 'comment4': 3, 'comment5': 3, 'comment6': 1, 'comment7': 3, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '98.14', 'emoji': '1.86'}"
56,itselisebear,UCM_4wLKpZQN16qdjcSnoHkg,0,30.4,416.2,0.035335689,0.56,"{'comment1': 184, 'comment2': 28, 'comment3': 6, 'comment4': 7, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '96.16', 'emoji': '3.84'}"
57,korea_grandma,UCN8CPzwkYiDVLZlgD4JQgJQ,0,216,0,1.428571429,0.67,"{'comment1': 1676, 'comment2': 177, 'comment3': 29, 'comment4': 3, 'comment5': 5, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '91.11', 'emoji': '8.89'}"
