,name,youtube,avg_hashtag,avg_comment,avg_self_comment,post_interval,ppl_img_ratio,comment_user_num,lang_ratio,avg_likes,num_of_posts,followers,following,bio_url,avg_like_follower_ratio,promoter_index,id_concentration
13,eunbar,UCS5qmPFj36fK7fML6gYcZSQ,2.9,16.1,1.5,0.38461538461538464,0.4,"{'comment1': 67, 'comment2': 10, 'comment3': 1, 'comment4': 3, 'comment5': 2, 'comment6': 3, 'comment7': 1, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '80.75', 'emoji': '19.25'}",618.0,260,9509,66,www.youtube.com/eunbioh,0.06,0,1.8089887640449438
14,on_do__,UCSn90DAxCF3yRs6mFK0-8TA,0.1,88.9,0.0,1.25,0.28,"{'comment1': 620, 'comment2': 82, 'comment3': 17, 'comment4': 4, 'comment5': 1, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 2}","{'ko': '84.14', 'emoji': '15.86'}",20396.2,624,240594,244,m.insideobject.com,0.08,6,1.2228335625859696
15,jojae____altong,UCUfqoN5sUGAVXcmEe3CHKEQ,2.6,23.0,0.0,3.333333333333333,1.0,"{'comment1': 75, 'comment2': 24, 'comment3': 4, 'comment4': 2, 'comment5': 1, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '64.78', 'emoji': '35.22'}",965.0,1208,43033,1161,metree.co.kr/index/index.php?sponsor=100099591,0.02,0,2.1296296296296298
16,captainramy,UCVE-zq_yK_InhsVaJPQEttw,11.2,2.2,0.5,0.10989010989010987,0.13,"{'comment1': 6, 'comment2': 2, 'comment3': 1, 'comment4': 1, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}",{'ko': '100.00'},24.1,219,219,103,youtube.com/c/captainramy,0.11,0,2.0
17,kkssd1121,UCY1Q5h_nPk3onGmTcepLorg,0.0,19.9,0.0,0.35714285714285715,0.88,"{'comment1': 72, 'comment2': 15, 'comment3': 8, 'comment4': 2, 'comment5': 2, 'comment6': 0, 'comment7': 2, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '77.39', 'emoji': '22.61'}",996.6,78,8492,333,youtube.com/c/이상한나라의꿩유갱,0.12,0,1.9509803921568627
18,jmtvinsta,UCYAvG7-sBBztgDtwKil1RTQ,0.8,82.7,1.2,0.03816793893129771,0.5,"{'comment1': 454, 'comment2': 100, 'comment3': 27, 'comment4': 13, 'comment5': 3, 'comment6': 1, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '95.65', 'emoji': '4.35'}",1404.3,225,12699,856,www.youtube.com/channel/UCYAvG7-sBBztgDtwKil1RTQ,0.11,2,1.3783333333333334
19,horseking123,UCYJDUekoQz0-bo8al1diLWQ,2.7,38.2,0.1,0.17543859649122806,1.0,"{'comment1': 254, 'comment2': 39, 'comment3': 12, 'comment4': 1, 'comment5': 2, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '96.86', 'emoji': '3.14'}",1926.2,216,22848,663,,0.08,0,1.2402597402597402
20,__kindacool,UCYJlyU_Lf33eqp6KWYONTGg,2.4,56.9,0.0,0.8333333333333334,0.87,"{'comment1': 338, 'comment2': 52, 'comment3': 6, 'comment4': 2, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '77.86', 'emoji': '22.14'}",6961.1,775,128231,299,youtu.be/0VfuYt3lB4I,0.05,9,1.4225
21,__angoo,UCaPQb6zHlBXzdMW_QzKh1Kw,3.7,79.6,2.0,0.4761904761904762,0.5,"{'comment1': 431, 'comment2': 83, 'comment3': 24, 'comment4': 9, 'comment5': 6, 'comment6': 0, 'comment7': 3, 'comment8': 0, 'comment9': 1, 'comment10': 0, 'over_10': 2}","{'ko': '92.46', 'emoji': '7.54'}",3063.4,34,12971,6,youtube.com/안구정화TVYourKoreanFriend,0.24,0,1.4239713774597496
22,rappeler.iam,UCa_ZCXMQ57PDcpE_3tPOW1g,0.9,7.6,0.0,0.38461538461538464,0.8,"{'comment1': 44, 'comment2': 9, 'comment3': 0, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 2, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '85.53', 'emoji': '14.47'}",568.1,281,10376,1,www.youtube.com/c/ASMRrappeler20,0.05,2,1.3818181818181818
